School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Western Carolina University,Southeast,,Town: Distant,Coeducational,No,Professional,High,On-campus,0-None,,8630,11573,24203,Merit,,,,,No,OOS waiver,NC Promise,"A state legislative program that significantly reduces tuition costs for all undergraduate students, including internationals. It is an automatic benefit, not a competitive scholarship.",2500,18073,Automatically Awarded,,,
Western Illinois University,Midwest (Great Lakes),,Town: Remote,Coeducational,No,Professional,High,On-campus,0-None,25000,13142,11320,28462,Merit,202,1,6060,22945,No,8000,International Undergraduate Commitment,A program that offers a reduced tuition rate to new international undergraduate students. It is Automatically Awardeded to eligible students upon admission.,5142,20462,Automatic consideration,,,affordable
Western Kentucky University,Southeast,,City: Small,Coeducational,No,Professional,Very High,On-campus,0-None,20000,27000,12582,43582,Merit,56,0.68,23350,19693,No,,,,,TBD,Unclear,,,affordable
Western Michigan University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,,19034,12174,35208,Merit,,,,,No,5000,Global Education Merit Scholarship,All international applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,14034,30208,Automatic consideration,Early Action Only,,early_admission
Western Washington University,West Coast,"Seattle, WA",City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,40000,28707,15629,48336,Merit,84,0.77,9368,37400,No,10000,International Achievement Award,A merit-based scholarship for new international students. Consideration is automatic for students who apply for admission by the priority deadline.,18707,38336,Automatic consideration,Early Action Only,,early_admission
Westminster University,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,High,On-campus,2-Slightly,30000,43260,14226,61486,Both,42,1,27235,29951,No,,,,,TBD,Unclear,Early Action Only,,early_admission; affordable
Westmont College,West Coast,,Suburb: Midsize,Coeducational,No,Arts and Sciences,Exclusively,On-campus,5-Very,25000,53584,16960,74544,Merit,22,1,50103,22047,No,,,,,TBD,Unclear,Early Action Only,,early_admission; generous_aid; affordable
Wheaton College,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,Coeducational,No,Arts and Sciences,High,On-campus,5-Very,40000,45720,14048,63768,Both,67,0.89,23368,36952,No,24000,Aequitas Fellows Program,A scholarship program for students committed to racial and ethnic diversity. Requires a separate application and is open to US citizens and permanent residents only.,21720,39768,By invitation only,Early Action Only,,early_admission
Wheaton College Massachusetts,Northeast (New England),,Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,40000,63960,16200,84160,Both,69,0.94,46406,35104,No,40000,Wheaton Merit Scholarships,All international applicants are automatically considered for merit-based scholarships upon admission. The CSS Profile is required for need-based institutional aid.,23960,44160,Automatic consideration,Both,,early_admission
Whitman College,West Coast,,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,35000,64050,15080,83130,Both,195,0.92,47637,32495,No,25000,Whitman Merit Scholarship,"All applicants, including international students, are automatically considered for Merit Scholarships based on their admission application. No separate application required.",39050,58130,Automatic consideration,Early Decision only,Yes,early_admission
Whittier College,West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,45000,51350,15729,71079,Both,87,0.92,28229,41258,No,,,,,TBD,Unclear,,,
Whitworth University,West Coast,,Suburb: Large,Coeducational,No,Arts and Sciences,Very High,Off-campus,4-Moderately,,52880,14300,71180,Both,98,1,37289,,No,34000,Mind & Heart Scholarship,"Whitworth offers generous academic scholarships to incoming first-year students. There is no scholarship application. Instead, these scholarships are offered to students based on the following criteria: High school weighted GPA and the standardized test score submitted for admission or A-Levels or IB exam scores",18880,37180,Automatic consideration,Early Action Only,,early_admission
Wichita State University,Midwest (Great Plains),,City: Large,Coeducational,No,Professional,High,On-campus,0-None,30000,19240,14080,37320,Merit,99,0.22,7772,28078,No,6000,International Merit Scholarship,The university offers a reduced tuition rate for students from select countries (Global Select). Other Merit Scholarships are also available and are considered automatically upon admission.,13240,31320,Automatic consideration,,,affordable
Willamette University,West Coast,,City: Midsize,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,40000,51156,16150,71306,Merit,20,0.98,31861,35897,No,32000,Merit Scholarship plus other competitive scholarship,"All students are automatically considered for Merit Scholarships upon admission. Additional competitive scholarships in specific areas (e.g., music, theatre) require separate applications or auditions.",19156,39306,Requires application,Both,,early_admission
William Jewell College,Midwest (Great Plains),,Suburb: Large,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,10000,20610,11230,35840,Both,1,0.03,29724,5547,,,,,,,Unclear,,,affordable
William Paterson University of New Jersey,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Balanced,High,On-campus,0-None,,25344,13160,42504,Merit,128,0.89,No data,,No,OOS waiver,Out of State Tuition Waiver,A program that offers a significantly reduced tuition rate to out-of-state and international students who meet specific GPA and test score criteria. It is Automatically Awardeded.,15704,32864,Automatic consideration,,,generous_aid
William Woods University,Midwest (Great Plains),,Town: Distant,Coeducational,No,Professional,Majority,On-campus,1-Historically,,28860,10450,43310,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Williams College,Northeast (New England),,Town: Fringe,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,5000,68560,17260,89820,Need,121,0.73,84142,1018,Yes (Need-aware),,,,,,Automatically Awarded,Early Decision only,,early_admission; generous_aid; affordable
Wingate University,Southeast,,Suburb: Large,Coeducational,No,Professional,High,On-campus,2-Slightly,15000,41636,11062,56698,Both,327, FLAG ,41373,14819,,,,,,,Unclear,,,affordable
Winona State University,Midwest (Great Plains),,Town: Distant,Coeducational,No,Professional,Very High,On-campus,0-None,30000,16340,9654,29994,Merit,36,0.38,4017,26867,No,OOS waiver,Cross-Cultural Scholarship,A scholarship that provides in-state tuition rates. Requires a separate application and a commitment to completing cultural sharing hours each semester.,9608,23262,Automatic consideration,,,affordable
Winthrop University,Southeast (Deep South),,City: Small,Coeducational,No,Balanced,High,On-campus,0-None,25000,28656,12994,45650,Merit,35,0.66,22331,22443,No,18330,Winthrop Premier Scholarship,"This appears to be for continuing students. New international students are eligible for other merit-based awards, for which they are automatically considered upon admission.",10326,27320,Automatic consideration,,,affordable
Wittenberg University,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,30000,44602,11562,60164,Both,11,1,31851,28313,No,30000,Presidential Scholarship,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is required.,14602,30164,Automatic consideration,Early Action Only,,early_admission; affordable
Wofford College,Southeast (Deep South),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,10000,56005,16220,76225,Both,6,0.15,63679,9436,No,Full ride+stipend,Richardson Family Scholarship,A premier scholarship for South Carolina residents only. It is not applicable to international students.,0,2000,Requires nomination,Both,,early_admission; generous_aid; affordable
Worcester Polytechnic Institute,Northeast (New England),"Boston, MA",City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,60000,60765,17906,82671,Merit,339,0.96,22876,58066,No,25000,Presidential Scholarships,All first-year applicants are automatically considered for merit-based scholarships upon admission. No separate application is required.,35765,57671,Automatic consideration,Both,Yes,early_admission
Wright State University,Midwest (Great Lakes),,Suburb: Large,Coeducational,No,Professional,High,On-campus,0-None,25000,20032,10900,34932,Merit,120,0.71,10121,24811,No,10000,UCIE Undergraduate Merit Scholarship,A merit-based scholarship for new international students. Awarded automatically to eligible students upon admission. No separate application needed.,10032,24932,Automatic consideration,,,affordable
Xavier University,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,35000,50640,13920,68560,Both,46,0.74,35297,30648,No,Full Tuition,St. Ignatius Scholarship,"The premier full-tuition scholarship. Requires a separate application, and finalists are invited to a competition.",0,17920,Automatic consideration,Early Action Only,,early_admission
Yale University,Northeast (New England),New York City,City: Midsize,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,10000,69900,20650,94550,Need,445,0.62,80285,7595,Yes (Need-blind),-,,,,,Automatically Awarded,Restricted Early Action Only,,early_admission; generous_aid; affordable; global_top_200; ivy_league
Yeshiva University,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,6-Primarily,20000,51800,15750,71550,Both,172,0.99,50050,18850,No,25000,Distinguished Honors Scholarship,All applicants to an honors program are automatically considered for these top-tier Merit Scholarships. Requires an honors program application.,26800,46550,Requires application,Early Decision only,,early_admission; generous_aid; affordable
York College of Pennsylvania,Northeast (Mid-Atlantic),,Suburb: Midsize,Coeducational,No,Professional,Very High,On-campus,1-Historically,,24606,12780,41386,Merit,No data,,No data,,No,"Under $5,000",Presidential Scholarship,The premier merit-based scholarship. All first-year applicants are automatically considered based on their admission application. No separate application needed.,,,Automatic consideration,,,generous_aid
Young Harris College,Southeast (Deep South),,Rural: Remote,Coeducational,No,Arts and Sciences,Very High,Off-campus,3-Somewhat,,32305,11706,48011,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Youngstown State University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,Off-campus,0-None,,11151,10384,25535,Merit,No data,,No data,,No,9000,International Undergraduate GPA Based Scholarship,A merit-based scholarship for international students. Awarded automatically to eligible students upon admission. No separate application is required.,2151,16535,Automatic consideration,,,generous_aid
